# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###########################################################################
#IDLE
11101	505	88	520	119	1
11111	1	88	16	119	0

#WALK / RUN RIGHT & LEFT
11202	487	88	502	119	1
11203	469	88	484	119	1
11212	19	88	34	119	0
11213	37	88	52	119	0

#RUN MAX POWER RIGHT
11301	407	88	430	119	1
11302	381	88	404	119	1
11303	355	88	378	119	1

#RUN MAX POWER LEFT
11311	91	88	114	119	0
11312	117	88	140	119	0
11313	143	88	166	119	0

#JUMP RIGHT & LEFT 
11401	433	88	448	119	1
11411	73	88	88	119	0

#FALL RIGHT & LEFT
11402	469	88	484	119	1
11412	37	88	52	119	0

#SIT RIGHT & LEFT
11501	451	88	466	119	1
11511	55	88	70	119	0

#BRACE RIGHT & LEFT
11601	311	88	326	119	1
11611	195	88	210	119	0

#JUMP MAX POWER RIGHT & LEFT
11701	329	88	352	119	1
11711	169	88	192	119	0

#GOING INTO PIPE
11600	293	88	308	119	1

#KICK RIGHT & LEFT
11801	195	88	215	119	1
11811	306	88	326	119	0

#IDLE HOLD RIGHT & LEFT
11901	257	88	272	119	1
11911	249	88	264	119	0

#WALK / RUN HOLD RIGHT & LEFT
11902	239	88	254	119	1
11903	221	88	236	119	1
11912	267	88	282	119	0
11913	285	88	300	119	0

#DIE
13001	307	16	322	31	0

#SMOKE USE IN LEVEL UP ANIMATION
13011	415	1	430	16	0
13012	433	1	448	16	0
13013	451	1	466	16	0
13014	469	1	484	16	0

############ SMALL ############################################################################
#IDLE
12111	505	16	520	31	1
12121	1	16	16	31	0

#WALK / RUN RIGHT & LEFT
12212	487	16	502	31	1
12222	19	16	34	31	0

#RUN MAX POWER RIGHT
12311	451	16	466	31	1
12312	433	16	448	31	1

#RUN MAX POWER LEFT
12321	55	16	70	31	0
12322	73	16	88	31	0

#JUMP WALK RIGHT & LEFT 
12413	469	16	484	31	1
12417	37	16	52	31	0

#BRACE RIGHT & LEFT
12511	109	16	124	31	0
12521	397	16	412	31	1

#JUMP MAX POWER RIGHT & LEFT
12711	415	16	430	31	1
12721	91	16	106	31	0

#GOING INTO PIPE
12600	127	16	142	31	0

#KICK RIGHT & LEFT
12811	325	16	340	31	1
12821	181	16	196	31	0

#IDLE HOLD RIGHT & LEFT
12911	361	16	376	31	1
12912	145	16	160	31	0

#WALK / RUN HOLD RIGHT & LEFT
12921	343	16	358	31	1
12922	163	16	178	31	0

#####  RACCOON ###########################################################################
#IDLE
15111	1	346	24	377	0
15101	497	346	520	377	1

#WALK / RUN LEFT & RIGHT
15212	27	346	50	377	0
15213	53	346	76	377	0
15202	471	346	494	377	1
15203	445	346	468	377	1

#RUN MAX POWER LEFT
15311	183	346	206	377	0
15312	209	346	232	377	0
15313	235	346	258	377	0

#RUN MAX POWER RIGHT
15301	315	346	338	377	1
15302	289	346	312	377	1
15303	263	346	286	377	1

#JUMP LEFT & RIGHT
15411	105	346	128	377	0
15401	393	346	416	377	1

#FALL LEFT & RIGHT
15412	131	346	154	377	0
15413	157	346	180	377	0
15402	367	346	390	377	1
15403	341	346	364	377	1

#SIT LEFT & RIGHT
15511	79	354	102	377	0
15501	419	346	442	377	1

#BRACE LEFT & RIGHT
15611	339	346	354	377	0
15601	167	346	182	377	1

#GOING INTO PIPE
15600	357	346	372	377	0

#FLYING LEFT & RIGHT
15711	261	346	284	377	0
15712	287	346	310	377	0
15713	313	346	336	377	0
15701	237	346	260	377	1
15702	211	346	234	377	1
15703	185	346	208	377	1

#KICK LEFT & RIGHT
15811	79	380	102	411	0
15801	419	380	442	411	1

#IDLE HOLD LEFT & RIGHT
15911	1	380	24	411	0
15901	497	380	520	411	1

#WALK / RUN HOLD LEFT & RIGHT
15912	27	380	50	411	0
15913	53	380	76	411	0
15902	471	380	494	411	1
15903	445	380	468	411	1

#ATTACK LEFT & RIGHT
15091	357	346	372	377	0
15092	375	346	398	377	0
15093	123	346	146	377	1
15094	401	346	416	377	0
#########################################################################################
				ANIMATION
#########################################################################################

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
100	11101	100
101	11111	100

#IDLE HOLD RIGHT & LEFT
110	11901	100
111	11911	100

#WALKING RIGHT & LEFT 
200	11101	100	11202	100	11203	100
201	11111	100	11212	100	11213	100

#RUNNING MAX POWER RIGHT & LEFT
410	11301	50	11302	50	11303	50
411	11311	50	11312	50	11313	50

#WALK / RUN HOLD RIGHT & LEFT 
420	11901	100	11902	100	11903	100
421	11911	100	11912	100	11913	100

#JUMP RIGHT & LEFT
500	11401	100
501	11411	100

#JUMP MAX POWER RIGHT & LEFT
510	11701	100
511	11711	100

#FALL RIGHT & LEFT
600	11402	100
601	11412	100

#SIT RIGHT & LEFT 
700	11501	100
701	11511	100

#BRACE RIGHT & LEFT 
800	11601	100
801	11611	100

#KICK RIGHT & LEFT 
900	11801	100
901	11811	100

#DIE
999	13001	100

#LEVEL UP / DOWN
990	13011	50	13012	50	13013	50	13014	50	13011	50	13012	50

#RUNNING RIGHT & LEFT
210	11101	50	11202	50	11203	50
211	11111	50	11212	50	11213	50

#GOING INTO PIPE
690	11600	100

################### SMALL #################
1100	12111	100
1102	12121	100

#WALK RIGHT & LEFT 
1200	12111	100	12212	100
1201	12121	100	12222	100

#RUN RIGHT & LEFT
1300	12111	50	12212	50
1301	12121	50	12222	50

#RUN MAX POWER RIGHT & LEFT
1310	12311	100	12312	100
1311	12321	100	12322	100

#BRACE RIGHT & LEFT
1400	12511	100
1401	12521	100

#JUMP RIGHT & LEFT
1500	12413	100
1501	12417	100

#JUMP MAX POwER RIGHT & LEFT
1600	12711	100
1601	12721	100

#KICK RIGHT & LEFT
1700	12811	100
1701	12821	100

#GOING INTO PIPE
1800	12600	100

#IDLE HOLD RIGHT & LEFT
1900	12911	100
1901	12912	100

#WALK / RUN HOLD RIGHT & LEFT
1910	12911	100	12921	100
1911	12912	100	12922	100

#LEVEL UP RIGHT & LEFT
991	11101	50	12111	50	11101	50	12111	50	11101	50	12111	50
992	11111	50	12121	50	11111	50	12121	50	11111	50	12121	50

#LEVEL DOWN RIGHT & LEFT
993	12111	50	11101	50	12111	50	11101	50	12111	50	11101	50
994	12121	50	11111	50	12121	50	11111	50	12121	50	11111	50
################### RACCOON #################
2100	15101	100
2101	15111	100

#IDLE HOLD RIGHT & LEFT
2110	15901	100
2111	15911	100

#WALKING RIGHT & LEFT 
2200	15101	100	15202	100	15203	100
2201	15111	100	15212	100	15213	100

#RUNNING MAX POWER RIGHT & LEFT
2410	15301	100	15302	100	15303	100
2411	15311	100	15312	100	15313	100

#WALK / RUN HOLD RIGHT & LEFT 
2420	15901	100	15902	100	15903	100
2421	15911	100	15912	100	15913	100

#JUMP RIGHT & LEFT
2500	15401	100
2501	15411	100

#JUMP MAX POWER RIGHT & LEFT
2510	15702	100
2511	15712	100

#FLYING RIGHT & LEFT
2520	15701	100	15702	100	15703	100
2521	15711	100	15712	100	15713	100

#FALL RIGHT & LEFT
2600	15402	100
2601	15412	100

#FALL BUT JUMP SPAMING RIGHT & LEFT
2610	15402	100	15403	100
2611	15412	100	15413	100

#SIT RIGHT & LEFT 
2700	15501	100
2701	15511	100

#BRACE RIGHT & LEFT 
2800	15601	100
2801	15611	100

#KICK RIGHT & LEFT 
2900	15801	100
2901	15811	100

#RUNNING RIGHT & LEFT
2210	15101	50	15202	50	15203	50
2211	15111	50	15212	50	15213	50

#ATTACK RIGHT & LEFT
2090	15093	75	15091	75	15092	75	15094	75	15093	75
2091	15092	75	15091	75	15093	75	15094	75	15092	75

#GOING INTO PIPE
2990	15600	100
