# list of object assets to load in this scene
[ASSETS]
mario.txt
worldmap.txt
background.txt
hud.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# BACKGROUND
100	0	0	100069
100	0	-25	120000

# CACTUS
101	-104	-93	12010
101	-88	-93	12010
101	-72	-93	12010
101	-104	-77	12010
101	-88	-77	12010
101	-72	-77	12010

101	-104	-45	12010
101	-88	-45	12010
101	-72	-45	12010
101	-104	-29	12010
101	-88	-29	12010
101	-72	-29	12010
101	-104	-13	12010

101	-40	-77	12010
101	-24	-77	12010
101	-8	-77	12010
101	-40	-61	12010
101	-24	-61	12010
101	-8	-61	12010
101	-40	-45	12010
101	-24	-45	12010
101	-8	-45	12010

101	-24	-13	12010
101	-8	-13	12010
101	8	-13	12010

101	24	-77	12010
101	40	-77	12010
101	56	-77	12010

101	24	-45	12010
101	40	-45	12010
101	56	-45	12010
101	72	-45	12010

101	24	-29	12010
101	40	-29	12010

101	88	-93	12010
101	88	-77	12010
101	88	-61	12010
101	88	-45	12010

101	104	-93	12010
101	104	-77	12010
101	104	-61	12010
101	104	-45	12010
101	104	-29	12010
101	104	-13	12010
101	104	3	12010
101	104	19	12010
101	104	35	12010

#HELP THINGY
101	88	-13	12020

#MARIO
-1	-88	-61

#ENEMY
18	56	3
